Batch Index,Time
0,0.179687
1,0.076802
2,0.012369
3,0.011832
4,0.011854
5,0.011699
6,0.011602
7,0.011593
8,0.011604
9,0.011631
10,0.011578
11,0.011532
12,0.011616
13,0.011611
14,0.011622
15,0.0116
16,0.011563
17,0.011548
18,0.011614
19,0.011577
20,0.011558
21,0.011528
22,0.011526
23,0.011498
24,0.011617
25,0.011554
26,0.011521
27,0.011587
28,0.011698
29,0.011649
30,0.011569
31,0.011654
32,0.011663
33,0.011628
34,0.011617
35,0.01162
36,0.011659
37,0.011586
38,0.011605
39,0.011707
40,0.011702
41,0.011616
42,0.011687
43,0.011657
44,0.011628
45,0.011816
46,0.011776
47,0.011573
48,0.011574
49,0.011576
50,0.011603
51,0.011679
52,0.011641
53,0.011565
54,0.011677
55,0.011606
56,0.01198
57,0.019753
58,0.011942
59,0.011887
60,0.011799
61,0.011813
62,0.011714
63,0.01166
64,0.011633
65,0.011712
66,0.011702
67,0.01166
68,0.011685
69,0.011617
70,0.011694
71,0.011754
72,0.01178
73,0.011677
74,0.011672
75,0.011652
76,0.011715
77,0.011789
78,0.011692
79,0.011757
80,0.011704
81,0.011646
82,0.011658
83,0.012361
84,0.011716
85,0.011693
86,0.011606
87,0.01166
88,0.011711
89,0.011686
90,0.011707
91,0.011678
92,0.012316
93,0.011919
94,0.011805
95,0.011715
96,0.011801
97,0.011784
98,0.011798
99,0.011827
100,0.011706
101,0.011689
102,0.011814
103,0.011697
104,0.052477
105,0.002676
106,0.001786
107,0.001627
