Batch Index,Time
0,0.168088
1,0.020465
2,0.012524
3,0.012189
4,0.011727
5,0.011838
6,0.011742
7,0.011845
8,0.011804
9,0.011739
10,0.011795
11,0.011784
12,0.011829
13,0.011815
14,0.011747
15,0.011912
16,0.011873
17,0.011863
18,0.01171
19,0.011661
20,0.011887
21,0.01171
22,0.0118
23,0.011794
24,0.01172
25,0.011896
26,0.011907
27,0.011853
28,0.011788
29,0.011809
30,0.01179
31,0.011812
32,0.011836
33,0.011772
34,0.011751
35,0.011806
36,0.011707
37,0.012495
38,0.012094
39,0.011898
40,0.011854
41,0.011858
42,0.011947
43,0.012035
44,0.011843
45,0.011885
46,0.011893
47,0.011883
48,0.011802
49,0.011853
50,0.011874
51,0.01196
52,0.011927
53,0.011983
54,0.011977
55,0.011868
56,0.011881
57,0.011891
58,0.011868
59,0.011932
60,0.011882
61,0.011891
62,0.011901
63,0.011995
64,0.012005
65,0.011872
66,0.012038
67,0.011982
68,0.011898
69,0.011912
70,0.011842
71,0.011923
72,0.011869
73,0.011938
74,0.011932
75,0.017619
76,0.012262
77,0.012132
78,0.011997
79,0.01195
80,0.011953
81,0.012051
82,0.014304
83,0.011994
84,0.011988
85,0.01192
86,0.012088
87,0.013041
88,0.012024
89,0.011984
90,0.011948
91,0.011857
92,0.012001
93,0.011954
94,0.011933
95,0.011961
96,0.011935
97,0.01198
98,0.011917
99,0.012055
100,0.012023
101,0.011894
102,0.011913
103,0.012019
104,0.013319
105,0.013452
106,0.011963
107,0.012111
108,0.01207
109,0.013948
110,0.014411
111,0.014669
112,0.011997
113,0.011979
114,0.011958
115,0.011964
116,0.011992
117,0.013846
118,0.01195
119,0.011924
120,0.013764
121,0.011833
122,0.011844
123,0.011825
124,0.011881
125,0.011922
126,0.011806
127,0.011911
128,0.011841
129,0.011661
130,0.011848
131,0.011858
132,0.011834
133,0.011795
134,0.01173
135,0.011881
136,0.011796
137,0.011815
138,0.011876
139,0.011793
140,0.01179
141,0.011836
142,0.011955
143,0.01179
144,0.011843
145,0.011865
146,0.011879
147,0.011862
148,0.011869
149,0.011899
150,0.011807
151,0.011846
152,0.011888
153,0.011931
154,0.012656
155,0.012108
156,0.011905
157,0.01185
158,0.012002
159,0.011997
160,0.011908
161,0.011984
162,0.011983
163,0.011931
164,0.011967
165,0.012009
166,0.012062
167,0.012062
168,0.011951
169,0.012017
170,0.012065
171,0.012061
172,0.011987
173,0.012021
174,0.012049
175,0.012027
176,0.011898
177,0.012061
178,0.011955
179,0.012111
180,0.01201
181,0.012012
182,0.011961
183,0.012004
184,0.011989
185,0.012065
186,0.011919
187,0.012075
188,0.012002
189,0.011976
190,0.01203
191,0.011968
192,0.011949
193,0.013661
194,0.012036
195,0.01206
196,0.012051
197,0.012014
198,0.011968
199,0.012035
200,0.012121
201,0.012054
202,0.012021
203,0.011932
204,0.011976
205,0.011989
206,0.012078
207,0.014044
208,0.011958
209,0.01195
210,0.011976
211,0.012183
212,0.011989
213,0.011964
214,0.011958
215,0.014693
216,0.012069
217,0.012034
218,0.012068
219,0.012002
220,0.011974
