Batch Index,Time
0,0.133712
1,0.025387
2,0.011198
3,0.011138
4,0.011047
5,0.011314
6,0.011809
7,0.011893
8,0.011846
9,0.011886
10,0.011934
11,0.011868
12,0.0118
13,0.011836
14,0.011908
15,0.011859
16,0.011924
17,0.011951
18,0.011927
19,0.011941
20,0.011984
21,0.011806
22,0.011823
23,0.011863
24,0.011875
25,0.0119
26,0.011955
27,0.011986
28,0.011888
29,0.012183
30,0.011988
31,0.011874
32,0.011994
33,0.011997
34,0.011916
35,0.011985
36,0.012002
37,0.012003
38,0.011938
39,0.012009
40,0.012008
41,0.012027
42,0.011971
43,0.012012
44,0.012062
45,0.012
46,0.012022
47,0.011988
48,0.012005
49,0.012008
50,0.012033
51,0.012043
52,0.011942
53,0.012013
54,0.012036
55,0.011997
56,0.011996
57,0.011973
58,0.011987
59,0.011995
60,0.011995
61,0.01202
62,0.012037
63,0.012035
64,0.011955
65,0.01202
66,0.012045
67,0.011955
68,0.012003
69,0.011995
70,0.011985
71,0.012003
72,0.012003
73,0.011974
74,0.012003
75,0.011962
76,0.012065
77,0.012
78,0.011985
79,0.011985
80,0.011964
81,0.011998
82,0.012044
83,0.012022
84,0.011969
85,0.011969
86,0.012042
87,0.012019
88,0.011982
89,0.011995
90,0.012053
91,0.011994
92,0.011962
93,0.012014
94,0.012048
95,0.013349
96,0.012106
97,0.012121
98,0.012149
99,0.012067
100,0.012031
101,0.012103
102,0.012001
103,0.011971
104,0.012685
105,0.002443
106,0.00164
107,0.001504
