Batch Index,inference(ms),cuda_graph(ms),diff
0,0.133712,0.179687,-0.045975
1,0.025387,0.076802,-0.051415
2,0.011198,0.012369,-0.001171
3,0.011138,0.011832,-0.000694
4,0.011047,0.011854,-0.000807
5,0.011314,0.011699,-0.000385
6,0.011809,0.011602,0.000207
7,0.011893,0.011593,0.0003
8,0.011846,0.011604,0.000242
9,0.011886,0.011631,0.000255
10,0.011934,0.011578,0.000356
11,0.011868,0.011532,0.000336
12,0.0118,0.011616,0.000184
13,0.011836,0.011611,0.000225
14,0.011908,0.011622,0.000286
15,0.011859,0.0116,0.000259
16,0.011924,0.011563,0.000361
17,0.011951,0.011548,0.000403
18,0.011927,0.011614,0.000313
19,0.011941,0.011577,0.000364
20,0.011984,0.011558,0.000426
21,0.011806,0.011528,0.000278
22,0.011823,0.011526,0.000297
23,0.011863,0.011498,0.000365
24,0.011875,0.011617,0.000258
25,0.0119,0.011554,0.000346
26,0.011955,0.011521,0.000434
27,0.011986,0.011587,0.000399
28,0.011888,0.011698,0.00019
29,0.012183,0.011649,0.000534
30,0.011988,0.011569,0.000419
31,0.011874,0.011654,0.00022
32,0.011994,0.011663,0.000331
33,0.011997,0.011628,0.000369
34,0.011916,0.011617,0.000299
35,0.011985,0.01162,0.000365
36,0.012002,0.011659,0.000343
37,0.012003,0.011586,0.000417
38,0.011938,0.011605,0.000333
39,0.012009,0.011707,0.000302
40,0.012008,0.011702,0.000306
41,0.012027,0.011616,0.000411
42,0.011971,0.011687,0.000284
43,0.012012,0.011657,0.000355
44,0.012062,0.011628,0.000434
45,0.012,0.011816,0.000184
46,0.012022,0.011776,0.000246
47,0.011988,0.011573,0.000415
48,0.012005,0.011574,0.000431
49,0.012008,0.011576,0.000432
50,0.012033,0.011603,0.00043
51,0.012043,0.011679,0.000364
52,0.011942,0.011641,0.000301
53,0.012013,0.011565,0.000448
54,0.012036,0.011677,0.000359
55,0.011997,0.011606,0.000391
56,0.011996,0.01198,1.6e-05
57,0.011973,0.019753,-0.00778
58,0.011987,0.011942,4.5e-05
59,0.011995,0.011887,0.000108
60,0.011995,0.011799,0.000196
61,0.01202,0.011813,0.000207
62,0.012037,0.011714,0.000323
63,0.012035,0.01166,0.000375
64,0.011955,0.011633,0.000322
65,0.01202,0.011712,0.000308
66,0.012045,0.011702,0.000343
67,0.011955,0.01166,0.000295
68,0.012003,0.011685,0.000318
69,0.011995,0.011617,0.000378
70,0.011985,0.011694,0.000291
71,0.012003,0.011754,0.000249
72,0.012003,0.01178,0.000223
73,0.011974,0.011677,0.000297
74,0.012003,0.011672,0.000331
75,0.011962,0.011652,0.00031
76,0.012065,0.011715,0.00035
77,0.012,0.011789,0.000211
78,0.011985,0.011692,0.000293
79,0.011985,0.011757,0.000228
80,0.011964,0.011704,0.00026
81,0.011998,0.011646,0.000352
82,0.012044,0.011658,0.000386
83,0.012022,0.012361,-0.000339
84,0.011969,0.011716,0.000253
85,0.011969,0.011693,0.000276
86,0.012042,0.011606,0.000436
87,0.012019,0.01166,0.000359
88,0.011982,0.011711,0.000271
89,0.011995,0.011686,0.000309
90,0.012053,0.011707,0.000346
91,0.011994,0.011678,0.000316
92,0.011962,0.012316,-0.000354
93,0.012014,0.011919,9.5e-05
94,0.012048,0.011805,0.000243
95,0.013349,0.011715,0.001634
96,0.012106,0.011801,0.000305
97,0.012121,0.011784,0.000337
98,0.012149,0.011798,0.000351
99,0.012067,0.011827,0.00024
100,0.012031,0.011706,0.000325
101,0.012103,0.011689,0.000414
102,0.012001,0.011814,0.000187
103,0.011971,0.011697,0.000274
